"รหัสสถานี","เขต","สถานี","วัน-เวลา","ฝน 5 นาที","ฝน 15 นาที","ฝน 30 นาที","ฝน 1 ชม.","ฝน 3 ชม.","ฝน 6 ชม.","ฝน 12 ชม.","ฝน 24 ชม.","ดูข้อมูล"
"RF.WTN.02","วัฒนา","ส.คลองแสนแสบ-คลองตัน","15/02/2566 07:35","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","ดูข้อมูล"
"RF.WTN.02","วัฒนา","ส.คลองแสนแสบ-คลองตัน","15/02/2566 07:40","2.0","2.5","2.5","2.5","2.5","2.5","2.5","2.5","ดูข้อมูล"
"RF.WTN.02","วัฒนา","ส.คลองแสนแสบ-คลองตัน","15/02/2566 07:45","0.5","3.0","3.0","3.0","3.0","3.0","3.0","3.0","ดูข้อมูล"
"RF.WTN.02","วัฒนา","ส.คลองแสนแสบ-คลองตัน","15/02/2566 08:00","3.5","3.5","6.5","6.5","6.5","6.5","6.5","6.5","ดูข้อมูล"
"RF.WTN.02","วัฒนา","ส.คลองแสนแสบ-คลองตัน","15/02/2566 08:05","10.0","13.5","16.0","16.5","16.5","16.5","16.5","16.5","ดูข้อมูล"
"RF.WTN.02","วัฒนา","ส.คลองแสนแสบ-คลองตัน","15/02/2566 08:10","11.0","24.5","25.0","27.5","27.5","27.5","27.5","27.5","ดูข้อมูล"
"RF.WTN.02","วัฒนา","ส.คลองแสนแสบ-คลองตัน","15/02/2566 08:15","11.5","32.5","36.0","39.0","39.0","39.0","39.0","39.0","ดูข้อมูล"
"RF.WTN.02","วัฒนา","ส.คลองแสนแสบ-คลองตัน","15/02/2566 08:20","7.0","29.5","43.0","46.0","46.0","46.0","46.0","46.0","ดูข้อมูล"
"RF.WTN.02","วัฒนา","ส.คลองแสนแสบ-คลองตัน","15/02/2566 08:25","6.5","25.0","49.5","52.5","52.5","52.5","52.5","52.5","ดูข้อมูล"
"RF.WTN.02","วัฒนา","ส.คลองแสนแสบ-คลองตัน","15/02/2566 08:30","6.0","19.5","52.0","58.5","58.5","58.5","58.5","58.5","ดูข้อมูล"
"RF.WTN.02","วัฒนา","ส.คลองแสนแสบ-คลองตัน","15/02/2566 08:35","4.5","17.0","46.5","62.5","63.0","63.0","63.0","63.0","ดูข้อมูล"
"RF.WTN.02","วัฒนา","ส.คลองแสนแสบ-คลองตัน","15/02/2566 08:40","5.5","16.0","41.0","66.0","68.5","68.5","68.5","68.5","ดูข้อมูล"
"RF.WTN.02","วัฒนา","ส.คลองแสนแสบ-คลองตัน","15/02/2566 08:45","4.0","14.0","33.5","69.5","72.5","72.5","72.5","72.5","ดูข้อมูล"
"RF.WTN.02","วัฒนา","ส.คลองแสนแสบ-คลองตัน","15/02/2566 08:50","3.0","12.5","29.5","72.5","75.5","75.5","75.5","75.5","ดูข้อมูล"
"RF.WTN.02","วัฒนา","ส.คลองแสนแสบ-คลองตัน","15/02/2566 08:55","3.0","10.0","26.0","75.5","78.5","78.5","78.5","78.5","ดูข้อมูล"
"RF.WTN.02","วัฒนา","ส.คลองแสนแสบ-คลองตัน","15/02/2566 09:00","1.0","7.0","21.0","73.0","79.5","79.5","79.5","79.5","ดูข้อมูล"
"RF.WTN.02","วัฒนา","ส.คลองแสนแสบ-คลองตัน","15/02/2566 09:05","1.0","5.0","17.5","64.0","80.5","80.5","80.5","80.5","ดูข้อมูล"
"RF.WTN.02","วัฒนา","ส.คลองแสนแสบ-คลองตัน","15/02/2566 09:10","0.5","2.5","12.5","53.5","81.0","81.0","81.0","81.0","ดูข้อมูล"
"RF.WTN.02","วัฒนา","ส.คลองแสนแสบ-คลองตัน","15/02/2566 09:15","0.5","2.0","9.0","42.5","81.5","81.5","81.5","81.5","ดูข้อมูล"
"RF.WTN.02","วัฒนา","ส.คลองแสนแสบ-คลองตัน","15/02/2566 09:25","0.5","1.0","3.5","29.5","82.0","82.0","82.0","82.0","ดูข้อมูล"
"RF.WTN.02","วัฒนา","ส.คลองแสนแสบ-คลองตัน","15/02/2566 09:35","0.5","1.0","2.0","19.5","82.5","82.5","82.5","82.5","ดูข้อมูล"
"RF.WTN.02","วัฒนา","ส.คลองแสนแสบ-คลองตัน","15/02/2566 10:00","0.5","0.5","1.0","3.5","83.0","83.0","83.0","83.0","ดูข้อมูล"
"RF.WTN.02","วัฒนา","ส.คลองแสนแสบ-คลองตัน","15/02/2566 10:15","0.5","0.5","1.0","2.0","83.5","83.5","83.5","83.5","ดูข้อมูล"
"RF.WTN.02","วัฒนา","ส.คลองแสนแสบ-คลองตัน","15/02/2566 10:30","0.5","0.5","1.0","2.0","84.0","84.0","84.0","84.0","ดูข้อมูล"
"RF.WTN.02","วัฒนา","ส.คลองแสนแสบ-คลองตัน","15/02/2566 10:40","0.5","1.0","1.5","2.0","82.0","84.5","84.5","84.5","ดูข้อมูล"
"RF.WTN.02","วัฒนา","ส.คลองแสนแสบ-คลองตัน","15/02/2566 10:55","0.5","0.5","1.5","2.5","82.0","85.0","85.0","85.0","ดูข้อมูล"
"RF.WTN.02","วัฒนา","ส.คลองแสนแสบ-คลองตัน","15/02/2566 11:05","0.5","1.0","1.5","2.5","69.0","85.5","85.5","85.5","ดูข้อมูล"
"RF.WTN.02","วัฒนา","ส.คลองแสนแสบ-คลองตัน","15/02/2566 11:40","0.5","0.5","0.5","1.5","17.5","86.0","86.0","86.0","ดูข้อมูล"
"RF.WTN.02","วัฒนา","ส.คลองแสนแสบ-คลองตัน","15/02/2566 12:20","0.5","0.5","0.5","1.0","5.0","86.5","86.5","86.5","ดูข้อมูล"
"RF.WTN.02","วัฒนา","ส.คลองแสนแสบ-คลองตัน","15/02/2566 12:30","0.5","1.0","1.0","1.5","5.0","87.0","87.0","87.0","ดูข้อมูล"
"RF.WTN.02","วัฒนา","ส.คลองแสนแสบ-คลองตัน","15/02/2566 12:35","0.5","1.0","1.5","2.0","5.0","87.5","87.5","87.5","ดูข้อมูล"
"RF.WTN.02","วัฒนา","ส.คลองแสนแสบ-คลองตัน","15/02/2566 12:50","0.5","0.5","1.5","2.0","5.5","88.0","88.0","88.0","ดูข้อมูล"
"RF.WTN.02","วัฒนา","ส.คลองแสนแสบ-คลองตัน","15/02/2566 13:15","0.5","0.5","1.0","2.5","5.0","88.5","88.5","88.5","ดูข้อมูล"
"RF.WTN.02","วัฒนา","ส.คลองแสนแสบ-คลองตัน","15/02/2566 14:35","0.5","0.5","0.5","0.5","3.5","26.0","89.0","89.0","ดูข้อมูล"
"RF.WTN.02","วัฒนา","ส.คลองแสนแสบ-คลองตัน","16/02/2566 02:50","0.5","0.5","0.5","0.5","0.5","0.5","0.5","89.5","ดูข้อมูล"
"RF.WTN.02","วัฒนา","ส.คลองแสนแสบ-คลองตัน","16/02/2566 02:55","2.0","2.5","2.5","2.5","2.5","2.5","2.5","91.5","ดูข้อมูล"
